	x	y	z
161	0.011066703	0.000439244	-0.050332333
162	0.011066703	0.044647025	-0.02324177
163	0.011110669	0.024062779	-0.044318126
164	0.01119885	-0.045102094	0.022980665
165	0.01119885	-0.050186209	0.00660714
166	0.011287363	0.045859528	0.021873873
167	0.011465383	0.051030453	-0.004016184
168	0.01173489	-0.028941493	-0.042907528
169	0.011870757	-0.051967772	-0.002723516
170	0.011916211	-0.042964526	-0.0295287
171	0.011961747	0.049810473	-0.015705182
172	0.011961747	0.016139257	0.049671525
173	0.012007366	-0.048512107	-0.019600164
174	0.012053067	0.00365637	0.052288531
175	0.012098849	0.036145771	-0.038089696
176	0.012144714	-0.051638044	-0.010037419
177	0.012190662	-0.023514018	-0.047161823
178	0.012375271	-0.022009696	0.048295869
179	0.012421628	0.041897384	0.032733824
180	0.012514589	-0.015599849	0.051024808
181	0.012561192	0.012930725	-0.051862306
182	0.012607877	-0.032964816	0.042193041
183	0.012654643	-0.01115185	-0.052465328
184	0.012842527	-0.045039685	0.029811117
185	0.012984296	-0.040662428	-0.035975077
186	0.013031716	0.033107815	0.043146944
187	0.013031716	0.023413576	0.049087582
188	0.013079217	0.010395057	0.05347793
189	0.013174463	-0.041256493	0.035863722
190	0.013317943	0.054024813	-0.010012907
191	0.013365932	0.047176728	0.028346638
192	0.013365932	-0.051718752	0.018824086
193	0.013510386	0.042989325	-0.034812069
194	0.013510386	0.054108117	0.011501035
195	0.013510386	-0.00241289	0.055264275
196	0.013510386	-0.004340116	-0.055146401
197	0.0135587	0.05190085	0.019404933
198	0.013607095	0.055399176	0.003388359
199	0.01365557	0.031489652	-0.045817727
200	0.01365557	0.047402977	-0.029048582
201	0.01365557	-0.054380629	0.011558959
202	0.013801484	-0.049333586	-0.026231133
203	0.013801484	-0.035540071	-0.043113553
204	0.013850283	0.039918058	0.039227366
205	0.013899163	0.051409479	-0.022353477
206	0.013948124	0.024173877	-0.050681588
207	0.013948124	-0.056014795	0.003916936
208	0.013997166	-0.009766686	0.05538963
209	0.014046289	0.003439266	-0.056231508
210	0.014046289	-0.017875862	-0.053425319
211	0.014095492	-0.029484086	0.048113656
212	0.014293111	-0.050607709	0.025785916
213	0.014293111	-0.054316542	-0.016606233
214	0.014642043	-0.057073771	-0.006502735
215	0.01474246	0.030109931	0.049134941
216	0.014893688	-0.039489196	0.042346978
217	0.015096444	0.038227721	-0.043975963
218	0.015096444	0.016549211	0.055869201
219	0.015198302	-0.020947225	0.054569386
220	0.015198302	-0.028337958	-0.05112303
221	0.015660608	0.053274241	0.025983584
222	0.015764218	0.015888668	-0.057292687
223	0.015816142	-0.042105367	-0.042105367
224	0.016129351	0.038625536	0.046032122
225	0.016129351	0.023479294	0.055313751
226	0.01618183	0.008895361	0.059520249
227	0.016287024	-0.047240102	0.037576474
228	0.016339739	0.008935504	-0.059788855
229	0.016392534	0.044637214	-0.040902471
230	0.016445407	0.059079668	-0.013639616
231	0.016445407	0.057984302	0.01772758
232	0.01649836	0.060724052	0
233	0.016551391	0.0498162	-0.034881679
234	0.016551391	0.053695885	-0.028550608
235	0.016551391	0.050417382	0.034006953
236	0.016551391	-0.005828797	0.060534374
237	0.016551391	-0.015226697	0.05887727
238	0.016551391	-0.05860256	0.016251928
239	0.016551391	-0.051573494	-0.032226696
240	0.016551391	-0.035315073	-0.049509907
241	0.016551391	-0.007937866	-0.060294076
242	0.016604501	0.046312224	0.039554376
243	0.016604501	0.00212554	0.060867502
244	0.016604501	-0.051650033	0.032274523
245	0.016604501	-0.056469765	0.022815266
246	0.016604501	-0.059573692	-0.012662779
247	0.016604501	-0.056469765	-0.022815266
248	0.016604501	-0.04766444	-0.037914007
249	0.016604501	-0.014734157	-0.059095477
250	0.016604501	-0.001062932	-0.060895327
251	0.016657689	0.057496239	-0.020360486
252	0.016657689	0.060602727	-0.006904809
253	0.016657689	-0.027691064	0.054346774
254	0.016657689	-0.03585185	0.049345838
255	0.016710957	-0.060332913	0.009555795
